City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,belyy yar,53.6039,91.3903,-9.06,92,0,1.0,RU,1698631679
1,bredasdorp,-34.5322,20.0403,13.09,59,0,8.89,ZA,1698631556
2,port mathurin,-19.6833,63.4167,24.75,79,13,6.82,MU,1698631680
3,waitangi,-43.9535,-176.5597,13.23,75,14,3.13,NZ,1698631680
4,yellowknife,62.456,-114.3525,-7.55,99,17,1.34,CA,1698631680
5,saint-philippe,-21.3585,55.7679,24.77,85,47,4.91,RE,1698631681
6,invercargill,-46.4,168.35,17.79,47,4,3.13,NZ,1698631681
7,kyaikkami,16.08,97.5675,26.85,84,100,3.8,MM,1698631682
8,udachny,66.4167,112.4,-21.42,83,95,2.39,RU,1698631682
9,san ignacio de velasco,-16.3667,-60.95,27.41,55,16,2.64,BO,1698631682
10,jamestown,42.097,-79.2353,8.9,97,100,2.57,US,1698631462
11,grytviken,-54.2811,-36.5092,3.87,99,100,4.06,GS,1698631683
12,new ulm,44.3125,-94.4605,-0.32,76,40,4.63,US,1698631683
13,happy valley-goose bay,53.3168,-60.3315,-2.58,63,72,7.51,CA,1698631684
14,port-aux-francais,-49.35,70.2167,1.82,63,79,11.82,TF,1698631684
15,remire-montjoly,4.9167,-52.2667,27.02,89,20,1.03,GF,1698631684
16,iqaluit,63.7506,-68.5145,-7.15,68,100,6.17,CA,1698631588
17,adamstown,-25.066,-130.1015,22.67,81,100,4.41,PN,1698631685
18,salinopolis,-0.6136,-47.3561,27.14,77,95,6.07,BR,1698631612
19,pacific grove,36.6177,-121.9166,19.82,61,0,2.24,US,1698631593
20,nemuro,43.3236,145.575,10.14,67,9,3.39,JP,1698631672
21,kirensk,57.7853,108.1119,-3.91,51,99,3.58,RU,1698631686
22,wailua homesteads,22.0669,-159.378,28.24,76,40,5.14,US,1698631687
23,rechytsa,52.3617,30.3916,6.06,91,94,5.25,BY,1698631687
24,puerto natales,-51.7236,-72.4875,1.43,87,95,1.77,CL,1698631687
25,ribeira grande,38.5167,-28.7,17.5,63,100,0.76,PT,1698631687
26,hawaiian paradise park,19.5933,-154.9731,27.8,77,100,2.57,US,1698631688
27,chernyshevskiy,63.0128,112.4714,-9.88,93,100,1.25,RU,1698631688
28,longyearbyen,78.2186,15.6401,-4.09,86,75,5.14,SJ,1698631689
29,nar'yan-mar,67.6713,53.087,-8.83,86,100,5.81,RU,1698631689
30,thompson,55.7435,-97.8558,-3.91,74,75,3.6,CA,1698631438
31,brookings,44.3114,-96.7984,-2.72,86,100,5.66,US,1698631690
32,ust-nera,64.5667,143.2,-11.76,92,100,0.53,RU,1698631690
33,blackmans bay,-43.0167,147.3167,18.07,50,89,3.96,AU,1698631691
34,port elizabeth,-33.918,25.5701,11.84,86,40,0.89,ZA,1698631691
35,onega,63.9061,38.1404,-4.11,87,86,3.47,RU,1698631691
36,kourou,5.1552,-52.6478,27.03,84,75,5.05,GF,1698631692
37,immokalee,26.4187,-81.4173,24.41,86,4,4.74,US,1698631692
38,laojunmiao,39.8333,97.7333,11.56,21,90,1.73,CN,1698631692
39,sabha,27.0377,14.4283,22.51,28,0,5.96,LY,1698631693
40,yaren,-0.5472,166.916,28.49,69,8,2.47,NR,1698631693
41,narvik,68.4384,17.4272,-3.33,94,98,1.81,NO,1698631694
42,mejit,10.2753,170.8646,28.02,81,100,9.59,MH,1698631694
43,alice springs,-23.7,133.8833,35.75,5,22,5.66,AU,1698631694
44,havre,49.5833,0.3333,10.87,87,100,3.09,FR,1698631695
45,prado,-17.3411,-39.2208,24.31,75,90,5.5,BR,1698631693
46,belmonte,-15.8631,-38.8828,24.04,73,56,4.26,BR,1698631695
47,bubaque,11.2833,-15.8333,27.62,77,89,3.21,GW,1698631696
48,hadibu,12.65,54.0333,25.82,80,97,3.29,YE,1698631696
49,morehead city,34.7229,-76.726,21.68,88,0,3.6,US,1698631459
50,khanabad,36.6825,69.1156,18.94,31,5,1.72,AF,1698631697
51,novyy urengoy,66.0833,76.6333,-12.84,91,10,1.41,RU,1698631697
52,carnarvon,-24.8667,113.6333,22.42,58,0,9.81,AU,1698631698
53,lihue,21.9789,-159.3672,28.58,74,40,5.14,US,1698631482
54,georgetown,5.4112,100.3354,27.96,83,20,3.09,MY,1698631599
55,podporozh'ye,60.9112,34.1706,-6.76,97,54,1.54,RU,1698631698
56,arno,60.1167,18.6333,3.21,69,100,5.01,SE,1698631699
57,san andres,12.5847,-81.7006,25.01,100,20,1.03,CO,1698631699
58,avarua,-21.2078,-159.775,24.03,64,100,3.6,CK,1698631699
59,margaret river,-33.95,115.0667,14.62,55,100,3.72,AU,1698631700
60,papao,-17.75,-149.55,27.59,82,11,8.3,PF,1698631439
61,cockburn town,21.4612,-71.1419,28.47,79,22,4.24,TC,1698631624
62,new norfolk,-42.7826,147.0587,18.72,45,70,4.96,AU,1698631701
63,speedway,39.8023,-86.2672,9.14,95,100,3.09,US,1698631701
64,taulaga,-11.0553,-171.0883,28.29,76,89,4.98,AS,1698631702
65,nogliki,51.8333,143.1667,2.97,60,1,3.58,RU,1698631702
66,kavieng,-2.5744,150.7967,24.9,92,100,5.26,PG,1698631702
67,trairi,-3.2778,-39.2689,26.32,79,50,5.62,BR,1698631465
68,east london,-33.0153,27.9116,13.99,62,67,4.2,ZA,1698631560
69,bonanza,14.0289,-84.591,22.1,99,98,0.66,NI,1698631703
70,bethel,41.3712,-73.414,9.55,88,100,2.57,US,1698631579
71,bilibino,68.0546,166.4372,-19.82,89,12,1.78,RU,1698631704
72,aroma,15.8167,36.1333,28.85,56,99,2.23,SD,1698631704
73,ketchikan,55.3422,-131.6461,5.99,87,100,0.0,US,1698631705
74,guayama,17.9841,-66.1138,26.33,70,100,0.89,PR,1698631705
75,olonkinbyen,70.9221,-8.7187,0.31,69,100,1.75,SJ,1698631706
76,qaqortoq,60.7167,-46.0333,4.01,77,100,4.88,GL,1698631706
77,yasnyy,51.0333,59.8742,7.23,82,100,9.83,RU,1698631706
78,kingston,17.997,-76.7936,28.53,83,20,4.12,JM,1698631422
79,maceio,-9.6658,-35.7353,22.69,94,20,1.54,BR,1698631410
80,sinabang,2.4803,96.3801,26.84,80,99,1.14,ID,1698631707
81,rabigh,22.7986,39.0349,28.28,59,0,1.48,SA,1698631709
82,whitehorse,60.7161,-135.0538,-1.06,86,100,7.15,CA,1698631709
83,punta arenas,-53.15,-70.9167,5.06,56,65,7.47,CL,1698631709
